Context,English,short_translation_key,Bahasa Melayu,简体中文,繁體中文,日本語, العربية ,Arabic- Extra,Bahasa Indonesia,Svenska,Tagalog,Español (México),Deutsch,Burmese,Polski,Italiano,हिंदी ,اردو,Tiếng Việt,Português Brasileiro,தமிழ்,Français,Filipino(Ilocano),Filipino (Bikolano),Nederlands
language,English,,Malay,Simplified Chinese,Traditional Chinese,Japanese,Arabic,,,Sweden,,"Spanish, Mexico",German,Myammar,Polish,Italian,Hindi,Urdu,Vietnamese,Portuguese,Tamil,French,,,Dutch
langcode,en,,ms,zh-hans,zh-hant,ja,ar,,id,sv,tl,es-mx,de,my,pl,it,hi,ur,vi,pt-br,,fr,,,nl
Menu,Home,home,Laman Utama,主页,主頁,ホーム,الرئيسية,,Beranda,Hem,Home,Inicio,Start,ပင်မစာမျက်နှာ,Strona główna,Home/Pagina principale,घर,مرکزی صفحہ/پیج/ہوم,Trang chủ,Início,முகப்பு,Accueil,Home/Rugi,Home,
Menu,Travel Alert,travel_alert,Amaran Pelancongan,旅遊警报,旅遊警報,旅行警告、渡航勧告,تحذيرات السفر,,Peringatan Perjalanan,Reseinformation,Abiso para sa Paglalakbay,Alertas de Viaje,Reisewarnung,ခရီးသွား သတိပေးချက်,Ostrzeżenie dla podróżujących,Avvisi per i viaggiatori,यात्रा चेतावनी,سفری الرٹ/انتباہ,Cảnh báo du lịch,Alertas de viagem,"பயண எச்சரிக்கை",Conseils Voyageurs,Abiso ti Panagbyahe,Abiso sa Pagbyahe,
Menu,What is COVID-19,whats_covid,Apa itu COVID-19,什么是 COVID-19,什麼是 COVID-19,COVID-19とは,ما هو كوفيد-19,,Apa itu COVID-19,Vad är COVID-19,Ano ang COVID-19?,¿Qué es COVID-19?,Was ist COVID-19,ကိုရိုနာဗိုင်းရပ်စ်ပိုး ဆိုတာ,Co to COVID-19,Che cos'è il COVID-19,क्या है COVID-19,"
کورونا وائرس کیا ہے؟",COVID-19 là gì?,O que é o COVID-19,COVID-19 என்றால் என்ன?,Qu'est-ce que le COVID-19,Ana ti COVID-19?,Ano an COVID-19,
Menu,Prevention,prevention,Pencegahan,预防手册,預防手冊,予防(法),الوقاية,,Pencegahan,Förebyggande,Iwasan ang COVID-19,Prevención,Prävention,ကာကွယ်မှု,Zapobieganie,Prevenzione,निवारण,روک تھام/احتیاط,Cách phòng ngừa,Prevenção,முன்னெச்சரிக்கை,Prévention,Prebention,Paglikay sa COVID-19,
Menu,Analytics,analytics,Analisis,数据分析,數據分析,データ分析,إحصائيات,,Analitik,Analys,Pagsusuri,Análisis,Analysen,ခွဲခြမ်းစိတ်ဖြာခြင်း,Analiza,Analisi,वैश्लेषिकी,تجزیات,Phân tích,Estatísticas,பகுப்பாய்வு,Analyse,Analays,Pagsusuri,
Menu,About,about,Mengenai Kami,关与我们,關於我們,組織概要,من نحن,,Tentang,Om,Tungkol sa CoronaTracker,Quiénes somos,Über uns,အကြောင်းအရာ,O nas,Chi siamo,विषय में,بمتعلق,Giới thiệu,Sobre,எங்களை பற்றி,À propos,Panggep,An Corona Tracker,
Menu,Blog,blog,,,,,,,,Blogg,Blog,,Blog,,Blog,,,,,Blog,,Blog,,,
Home,Live,live,Secara Lansung,时事更新,時事更新,ライブ配信,يحدث الآن,,Langsung,Live,Live,En Vivo,Live,တိုက်ရိုက်သတင်း,Na żywo,In diretta,लाइव,براہ راست,,Ao Vivo,நேரலை,Live,Live,Live,
Home,Stats Overview,stats_overview,Gambaran Statistik,数据统计,數據統計,予約統計量,نظرة عامة,,Statistik Secara Umum,"
Statistisk översikt",Overview ng Stats,Estadísticas Generales,Übersicht der Fallzahlen,စာရင်း အနှစ်ချုပ်,Dane statystyczne,Statistiche generali /Panoramica generale,आंकड़ों का अवलोकन , اعدادوشمار کا جائزہ,Biểu đồ tổng quan,Estatísticas Gerais,புள்ளிவிவர கண்ணோட்டம்,Bilan,,Overview kan Stats,
Home,Global,global,Global,全球,全球,全世界,عالميا,"For ""Confirmed"", ""Recovered"", ""Deaths"" in the side bar. Because, they can't be translated as the ones in the Stats Overflow section  ⬇⬇⬇",,Globalt,Buong Mundo,Global,Weltweit,ကမ္ဘာလုံးဆိုင်ရာ,Ze świata (globalne),Nel mondo,वैश्विक,عالمی,Thế giới,Mundial,குளோபல்,Global,Lubong,Bilog na Kinab-an,
Home,Confirmed,confirmed,Disahkan,确诊,確診,感染者数,مصاب,المصابين,Terkonfirmasi,Bekräftade,Kumpirmado,Confirmados,Bestätigt,အတည်ပြုပြီး,Potwierdzone,Confermati,बीमार,تصدیق شدہ,Nhiễm bệnh,Confirmados,உறுதியானது,Confirmés,Kumpirmado,Kumpirmado,
Home,Recovered,recovered,Pulih,治愈,治癒,完治者数,متعافى,المتعافيين,Sembuh,Tillfrisknade,Gumaling,Recuperados,Genesen,ကုသပြီး,Wyleczeni,Guariti,स्वस्थ,صحتیاب,Khỏi bệnh,Curados,குணமானவர்கள்,Rétablis,Nakalasat,Nagrahay,
Home,Deaths,deaths,Kematian,死亡,死亡,死亡者数,متوفي,المتوفيين,Meninggal,Antalet döda,Namatay,Decesos,Todesfälle,သေဆုံး,Zgony,Morti,लोगों की मृत्यु,اموات,Tử vong,Mortes,இறந்தவர்கள் ,Décès,Natay,Nagadan,
Home,more details,more details,lebih lanjut,查看更多,查看更多,詳細,تفاصيل أكثر,,lebih detil,mer detaljer,karagdagang detalye,más detalles,Weitere Details,အသေးစိတ်,więcej ,Maggiori dettagli,अधिक जानकारी,  مزید تفصیلات,Chi tiết,mais detalhes,மேலும் படிக்க,plus de détails,Nayon nga impormasiyon,Dagdag na Detalye,
Home,Search,search,Carian,搜索,搜索,検索,بحث,,Cari,Sök,Hanapin,Buscar,Suche,ရှာဖွေရန်,Szukaj,Cerca,खोज,تلاش,Tìm kiếm,Buscar,தேடு ,Rechercher,Biruken,Hanapon,
Home,Verified News,verified_news,Berita yang disahkan,已确认新闻,已確認新聞,認定されたニュース,أخبار موثقة,,Berita yang disetujui,Verifierade nyheter,Mga Balita,Noticias Verificadas,Verifizierte Nachrichten,အတည်ပြုပြီး သတင်းများ,Zweryfikowane Wiadomości,Notizie verificate,सत्यापित समाचार,تصدیق شدہ نيوز,Tin tức,Notícias Verificadas,சரிபார்க்கப்பட்ட செய்திகள்,Informations Vérifiées,Pudno nga damag,Mga Bareta,
Home,Clear All,clear_all,Padam semua,清除,清除,削除,إلغاء,,Hapus Semua,Återställ,Burahin Lahat,Borrar filtros,Alles löschen,ရှင်းလင်းရန်,Usuń wszystko,Cancella tutto,साफ करें,سب کچھ صاف کریں,Xoá,Limpar Tudo,"அனைத்தையும் அழி
",Effacer les Filtres,Ikkaten Amin,Buraon Gabos,
Home,No result,no_result,,,,,لا يوجد نتيجة,,Tidak ada data,Inget resultat,,,Kein Treffer gefunden,မရှိပါ,Brak wyników,,कोई परिणाम नही,نتیجہ کچھ بھی نہیں ہے,Không có kết quả,Sem resultados,தேடுதல் முடிந்தது,Aucun résultat,Awan ti Resulta,Warang resulta,
Home,Prev,prev,Sebelum,上一页,上一頁,前,السابق,,Sebelumnya,Föregående,Nauna,Anterior,Neueste,နောက်သို့,Poprzedni,Precedente,पिछला,پچھلا,Trước,Anterior,முன்,Préc.,Ummuna,Nainot,
Home,Next,next,Selepas,下一页,下一頁,次,التالي,,Selanjutnya,Nästa,Susunod,Siguiente,Älteste,ရှေ့ဆက်ရန်,Następny,Successivo,अगला,ااگلا,Tiếp theo,Próximo,அடுத்தது,Suiv.,Sumaruno,Sunod,
Home,Countries Affected,countries_affected,Negara yang terkesan,受影响国家,受影響國家,被災国,الدول المتأثرة,,Negara Terdampak,Drabbade länder,Apektadong mga Bansa,Países Afectados,Betroffene Länder,ကူးစက်ပြီး နိုင်ငံ,Kraje zainfekowane,Stati colpiti,देश प्रभावित हुए,متاثرہ ممالک,Quốc gia và vùng lãnh thổ bị ảnh hưởng,Países Afetados,பாதிக்கப்பட்ட நாடுகள்,Pays Affectés,Apectado nga bansa,Mga Apektadong Nasyon,
Home,Source,source,Sumber,资料来源,資料來源,情報源,المصدر,,Sumber,Källa,Pinagmulan,Fuente,Quelle,သတင်းရင်းမြစ်,źródło,Fonte,स्रोत,ذریعہ,Nguồn,Fonte,ஆதாரம்,Source,Pinagrugyanan,Sain Hale,
Home,and various international media,international_media,dan pelbagai media antarabangsa,以及其他国际媒体,以及其他國際媒體,と様々な国際媒体,و وكالات الأنباء العالمية,,dan berbagai media internasional,och diverse internationell media,at iba pang media mula sa iba't ibang bansa,y diversos medios internacionales,und verschiedene internationale Medien,အမျိုးမျိုးသော နိုင်ငံတကာ မီဒီယာများ,I różne międzynarodowe media,e diversi media internazionali,और विभिन्न अंतरराष्ट्रीय मीडिया,اور مختلف بین الاقوامی میڈیا,phương tiện truyền thông quốc tế,e várias mídias internacionais,"மற்றும் பல்வேறு சர்வதேச ஊடகங்கள்",et divers médias internationaux,manipod dagiti interasyonal nga media,International Media,
Home,Click on a country for more info,click_country_hint_info,,,,,,,,,,,,,,,,,,,,,,,
Home,Hint,hint,,,,,,,,,,,,,,,,,,,,,,,
Home,Country,country,Negara,国家,國家,国,الدولة,,Negara,Land,Bansa,País,Land,နိုင်ငံ,Kraj,Stato,देश ,ملک,Quốc gia,País,நாடு,Pays,Bansa,Nasyon,
Home,Cases identified on a cruise ship currently in Japanese territorial waters.,cruise_ship_notice,,,,日本の領海にあるクルーズで確認されたケース,حالات تم اكتشافها كانت على متن باخرة بحرية في المياه الاقليمية اليابانية.,,Kasus yang diidentifikasi di kapal pesiar saat ini di perairan teritorial Jepang.,Identifierade fall på ett kryssningsfartyg som just nu befinner sig på japanskt territorialvatten.,Ang mga kaso na nasuri sa isang barko ng cruise na kasalukuyang nasa teritoryo ng Hapon.,Casos identificados en el crucero estacionado en las aguas territoriales de Japón.,"Fälle, die auf einem Kreuzfahrtschiff identifiziert wurden, welches sich derzeit in japanischen Hoheitsgewässern befindet.",ဂျပန်ရေပိုင်နက်အတွင်း လတ်တလောရောက်ရှိနေသည့် အပျော်စီးသင်္ဘောမှ အမှုတွဲများ,Przypadki zidentyfikowane na promie znajdującym się na wodach terytorialnych Japonii,Casi identificati su una nave da crociera attualmente in acque territoriali giapponesi,जापानी समुद्री जल में वर्तमान में एक क्रूज जहाज पर पहचाने गए मामले,ایسے مریض جن کی شناخت کروز جہاز پر کی جاتی ہے جو جاپانی علاقائی پانی میں موجود ہے۔,Các trường hợp được xác nhận trên một tàu du lịch hiện đang ở trong lãnh hải của Nhật Bản,Casos identificados em um cruzeiro atualmente em território marítimo japonês.,"தற்போது ஜப்பானிய பிராந்திய நீரில் ஒரு கப்பலில் அடையாளம் காணப்பட்ட பாதிக்கப்பட்டவர்கள் .",Cas identifiés sur un bateau de croisière dans les eaux territoriales japonaises.,Dagito kaso nga na identify jiay cruise ship ket adda ijiay teritoryo ti Japan.,Mga kaso sa barko na nasa teritoryo kan mga Hapon,
Home,Full list here,full_list,Senarai penuh disini,,,全目録はこちら,القائمة الكاملة,,Lihat semua daftar,Hela listan här,Kumpletong Listahan Dito,Lista completa,Komplette Liste,စာရင်း အပြည့်အစုံ,Kompletna lista,Lista completa qui,पूरी सूची यहाँ,مکمل فہرست یہاں موجود ہے,Danh sách đầy đủ,Lista completa aqui,"முழு பட்டியல் இங்கே",Voir la liste complète,Kumpleto nga listaan ditoy,An Kumpletong Listahan,
Home,Steps,steps,Langkah-langkah,步骤,步驟,手順、方法,خطوات,,Langkah-langkah,Steg,Mga Hakbang,Pasos,Maßnahmen ,အဆင့်များ,Jakie kroki należy podjąć,Passi,उपाय,اقدامات,Các bước,Passos,நடவடிக்கைகள் ,Mesures de protection,Dagiti pamay~an ,,
Home,to prevent coronavirus,prevent_coronavirus,untuk menghalang coronavirus,预防病毒,預防病毒,感染予防,الوقاية من فيروس كورونا,,untuk mencegah coronavirus,för att förhindra coronaviruset,para mapigilan ang coronavirus,para prevenir el coronavirus,", um eine Infektion mit dem Corona-Virus zu verhindern",Corona Virus ကာကွယ်ရန်,aby nie zostać zainfekowanym Korona wirusem,per prevenire il coronavirus,Coronavirus को रोकने के लिए,,để ngăn chặn virus corona,para prevenir o coronavírus,"கொரோனா வைரஸைத் தடுக்க",contre le coronavirus,tapnu malapdan ti virus,para mapugulan an coronavirus,
Home,Read and share this with others,read_and_share,Baca dan kongsi dengan yang lain,,閱讀及與他人分享,目を通して共有しましょう,اقرأ و شاركه مع الآخرين,,Baca dan bagikan untuk yang lainnya,Läs och dela det här med andra,Basahin at ipamahagi sa ibang tao,Léelo y compártelo con otros ,Bitte lesen und teilen Sie,ဖတ်ရှုရန်နှင့် မျှဝေရန်,Przeczytaj i udostępnij dalej,Leggi e condividi,पढ़े और लोगो के साथ शेयर करे,,Đọc và chia sẻ điều này với nhiều người khác,Leia e compartilhe com outros,"இதைப் படித்து மற்றவர்களுடன் பகிர்ந்து கொள்ளுங்கள்",Lisez et partagez cette information avec d'autres,basa-en ken ipakaammo kadagiti tat-tao,Basahon nan ipasa sa iba,
Home,Learn how,learn_how,Belajar Bagaimana Cara,,學習如何,学びましょう,اعرف كيف !,,Pelajari lebih lanjut,Läs mer,Alamin kung paano,Aprende cómo,Mehr erfahren ,လေ့လာရန်,Naucz się jak,Impara come,सीखें किस तरह,,Học cách,Aprenda como,"எப்படி என்பதை அறிக",Apprendre les bons gestes,Ammuwem nu kasatno,Aramon kun pan-o,
Home,Screening Centres,screening_centres,Pusat Tapisan,,防疫中心,検査センター,مراكز الفحص,,Pusat Penyaringan,Screening Center,Screening Centres,Centros de Detección,Screening-Zentren,စောင့်ကြည့် ဌာန,(in Poland does not egsist),Centri di valutazione,स्क्रीनिंग केंद्र,,Trung tâm theo dõi,Centros de Triagem,"திரையிடல் மையங்கள்",Centres de Dépistage,Centro ti panagsayasat,Screening Centres,
Home,Select Region,select_region,Pilih Kawasan,,選擇區域,地域を選択,اختر المنطقة,,Pilih daerah,Välj region,Piliin ang Rehiyon,Seleccionar Región,Region auswählen,ဒေသ ရွေးချယ်ရန်,Wybierz region,Seleziona la regione,क्षेत्र चुने,,Chọn khu vực,Selecione Região,உங்கள் ஊரை தேர்ந்தெடுக்கவும்,Sélectionner la Région,Agpili ti Rehiyon,Pilion an Rehiyon,
Home,Help us collate the locations for your country!,help_us_locations,Bantu kami untuk mengumpulkan data lokasi negara anda,,幫助我們整理您所在國家的位置!,自国で確認された感染者数の情報共有をご協力願います,ساعدنا في تجميع المراكز في دولتك,,Bantu kami menyusun lokasi untuk negara anda!,Hjälp oss att sammanställa platserna för ditt land!,Tulungan mo kaming likumin ang mga lokasyon para sa iyong bansa,¡Ayúdanos a comparar los terriotorios de tu país!,"Helfen Sie uns, die Standorte für Ihr Land zusammenzustellen!",သင့်နိုင်ငံအတွက်တည်နေရာများကိုစုဆောင်းရန်ကူညီပါ,Pomóż nam ustalić lokalizacje Twojego kraju,aiutaci a collocare i luoghi nella tua nazione,अपने देश के स्थानों को समेटने में हमारी सहायता करें,,Hãy giúp chúng tôi đối chiếu với các địa điểm ở đất nước của bạn,Ajude-nos a compilar os locais para o seu país!,"உங்கள் நாட்டிற்கான இருப்பிடங்களை இணைக்க எங்களுக்கு உதவுங்கள்!",,Tulungan dakami nga biruken ti lokasyan dita pagilyan yu.,Tuwangan kaming tipunon an mga lokasyon sa saimong nasyon,
Home,Join our Telegram group,join_telegram,Sertai saluran Telegram kami,,加入我們的 Telegram 群組,我々のTelegramグループへのご参加をお待ちしております,انضم إلى قناتنا على التليجرام,,Bergabung dengan grup Telegram kami,Gå med i vår Telegram grupp,Sumali sa aming grupo sa Telegram,Únete a nuestro grupo en Telegram,Schließen Sie sich unserer Telegram-Gruppe an.,ကျွန်ုပ်တို့၏ Telegram အုပ်စုနှင့်ဆက်သွယ်ပါ,Dołącz do nas na Telegramie,unisciti al nostro gruppo Telegram,हमारे Telegram Group में शामिल हो,,Tham gia nhóm Telegram ,Junte-se ao nosso grupo no Telegram,எங்கள் டெலக்ராம் குழுவில் சேரவும்,Rejoignez notre groupe Telegram,Sumali ka ti grupo mi ti Telegram,Mag-entra sa samong grupo sa Telegram ,
Home,GET IT ON,get_it_on,Mari Mulakan!,,,始めましょう！,GET IT ON,,DAPATKAN SEKARANG,Sätt igång!,Tara na! ,Comenzar,Starten,ရပီ,Wejdź w,,-,,,,இதை பெறுங்கள் ,,Rugyan tan,Puunan ta na,
Travel Alert,Travel Alert Information,travel_alert_information,Informasi Notis Perjalanan,,,渡航危険情報,معلومات عن تحذيرات السفر,,Informasi Peringatan Perjalanan,Reseinformation,Impormasyon sa Paglalakbay,Información sobre Alertas de Viajes,Informationen über Reisewarnungen,ခရီးသွား သတိပေးချက်,Informacja dla podróżujących,Avvisi per i viaggiatori,यात्रा चेतावनी की जानकारी,,Cảnh báo du lịch,Informações de Alerta de Viagem,"பயண எச்சரிக்கை தகவல்",Conseils aux Voyageurs,Abiso iti panag pasyar,Impormasyon sa Pagbyahe,
Travel Alert,Select Country,select_country,Pilih Negara,,,国を選択してください,اختر الدولة,,Pilih Negara,Välj land,Piliin ang Bansa,Seleccionar País,Land auswählen,နိုင်ငံ ရွေးချယ်ရန်,Wybierz kraj,seleziona il Paese,देश चुनिए,,"Chọn quốc gia, vùng lãnh thổ",Selecione o País,"நாட்டினை தேர்வுசெய்",Sélectionner le Pays,Agpili iti bansa,Magpili nin Nasyon,
What is 2019-nCov,What is COVID-19?,What is COVID-19?,Apa itu COVID-19?,,,COVID-19とは,ما هو فيروس كورونا المستجد (COVID-19)؟,,Apa itu COVID-19?,Vad är 2019-mCov viruset?,Ano ang COVID-19 virus?,¿Qué es el virus COVID-19?,Was ist das COVID-19-Virus?,ကိုရိုနာဗိုင်းရပ်စ်ပိုး ဆိုတာ,Co to jest COVID-19?,cos'è il virus COVID-19?,क्या है COVID-19,,COVID-19 là gì,O que é o COVID-19?,"COVID-19 என்றால் என்ன?",Qu'est-ce que le COVID-19?,Anya ti COVID-19?,Ano an COVID-19?,
Prevention,"We will update this page with resources related to nCov prevention, here is a quick guide from",update_resources,"Kami akan mengemaskini laman sesawang ini dengan sumber yang berkaitan dengan nCov, berikut adalah maklumat ringkas dari WHO",,,このページは、nCOvの感染予防に関する情報を更新します。WHOからのクイックガイドをこちらからご覧になれます。,سنقوم بتحديث هذه الصفحة بمصادر تتعلق بسبل الوقاية من فيروس كورونا المستجد. في الوقت الراهن، يمكنك الإطلاع على هذا الدليل المختصر من منظمة الصحة العالمية.,,"Kami akan memperbarui halaman ini dengan sumber daya yang terkait dengan pencegahan nCov, berikut adalah panduan singkat dari WHO.","Vi kommer att uppdatera den här sidan med resurser relaterade till förebyggande av nCov, här är en snabbguide från WHO.","Patuloy naming iu-update ang pahinang ito gamit ang mga mapagkukunan na may kaugnayan sa pag-iwas sa nCov, narito ang isang panuntunan mula sa WHO.",Mantenemos esta página actualizada con recursos relacionados a la prevención del nCov. Aquí hay una guía rápida de la OMS.,Wir werden diese Seite mit Ressourcen zur nCov-Prävention aktualisieren. Hier ist eine Kurzanleitung der WHO.,ကိုရိုနာဗိုင်းရပ်စ်ပိုး ကာကွယ်ရေးနှင့်သက်ဆိုင်သော အချက်အလက်များကို မကြာမီဖော်ပြပေးသွားပါ မည်။ ယခု WHO မှ လမ်းညွှန်ချက် အားဖော်ပြထားပါသည်။,"Zaktualizujemy tę stronę o zasoby związane z zapobieganiem nCov, oto szybki przewodnik od",Stiamo aggiornando questa pagina  con diverso materiale riguardante la prevenzione del virus nCov. Qui  la guida veloceredatta dall'organizzazione mondiale della sanità.,"हम इस पृष्ठ को nCov रोकथाम से संबंधित संसाधनों के साथ अपडेट करते रहेंगे, यहाँ WHO से एक छोटी गाइड हे ",,"Chúng tôi sẽ cập nhật thông liên quan đến phòng chống COVID-19, đây là hướng dẫn nhanh từ","Nós iremos atualizar essa página com referências relacionadas à prevenção do coronavírus, aqui está um guia rápido da","NCov தடுப்பு தொடர்பான ஆதாரங்களுடன் இந்தப் பக்கத்தைப் புதுப்பிப்போம், இங்கே ஒரு விரைவான வழிகாட்டி",Nous actualiserons cette page avec des ressources liées à la prévention contre le Covid-19. Voici un guide rapide de l'OMS.,"I update mi daytoy nga page iti baro nga impormasyon panggep ti NCov prebention, para ti kanayon pay nga impormasyon click mo ditoy manipod ti","Pirming ia-update ang espasyong ini nin mga rekursong may relasyon sa pagpugol sa nCov, ini an halip-ot na giya hale sa",
Prevention,WHO,WHO,WHO,WHO,WHO,WHO,WHO,WHO,WHO,WHO,WHO,WHO,WHO,WHO,WHO,WHO,WHO,,WHO,OMS,யார் ,OMS,WHO,WHO,WHO
Analytics,Overview,overview,Secara Keseluruhan,,,概要、要約,نظرة عامة,,Gambaran Umum,Översikt,Pangkalahatang Ideya,Resumen,Übersicht,အနှစ်ချုပ်,Przeglad,Panoramica generale,सारांश,,Tổng quan,Geral,கண்ணோட்டம்,Bilan,,,
Analytics,Reports,reports,Senarai Laporan,,,検査を受けた人数,تقارير,,Laporan,Rapporter,Mga Ulat,Reportes,Berichte,အစီရင်ခံစာများ,Raporty,Report,रिपोर्ट,,Báo cáo,Relatórios,அறிக்கைகள்,Synthèse,,,
Analytics,Total Confirmed,total_confirmed,Jumlah Disahkan,,,感染確認人数,الحالات المؤكدة,,Total Terkonfirmasi,Totalt antal bekräftade ,Total ng Kumpirmado,Total Confirmados,Bestätigte Fälle kumuliert,အတည်ပြုပြီးလူနာ စုစုပေါင်း,Wszystie potwierdzenia,Casi totali confermati,कुल पुष्टि,,Nhiễm bệnh,Total Confirmados,"மொத்தம் உறுதிப்படுத்தப்பட்டது",Total Confirmés,,Gabos na Kumpirmado,
Analytics,Total Recovered,total_recovered,Jumlah Pulih,,,完治・退院人数,الحالات المتعافية,,Total Disembuhkan,Totalt antal tillfrisknade,Total ng Gumaling,Total Recuperados,Genesungsfälle kumuliert,ပျောက်ကင်းပြီးသူ စုစုပေါင်း,Wszystkie wyleczone,Totale guariti,कुल स्वस्थ होनेवाला,,Khỏi bệnh,Total Curados,மொத்தம் மீட்கப்பட்டவர்கள் ,Total Rétablis,,Gabos na Narahay,
Analytics,Total Deaths,total_deaths,Jumlah Kematian,,,死亡人数,الحالات المتوفية,,Total Meninggal,Totalt antal döda,Total ng Namatay,Total Decesos,Todesfälle kumuliert,သေဆုံးသူ စုစုပေါင်း,Wszystkie zgony,Totale morti,कुल मृत्यु,,Tử vong,Total Mortes,"மொத்த இறப்புகள்",Total Décès,,Gabos na Nagadan,
Analytics,Outbreak trend over time,outbreak_trend,Perkembangan penyebaran virus dengan masa,,,長期発生傾向,ميل تفشي الفيروس مع مرور الوقت,,Tren wabah dari waktu ke waktu,Sjukdomsfrekvens över tid,Pagsiklab ng trend sa paglipas ng panahon,Evolución de la epidemia,Entwicklung der Pandemie,အချိန်နှင့်အမျှ ပြန့်နှံ့မှုပုံစံ,Postęp epidemii w czasie,andamento dell'epidemia nel tempo,समय के साथ प्रकोप में बदलाव ,,Xu hướng bùng phát theo thời gian,Evolução do surto ao longo do tempo,"காலப்போக்கில் வெடிப்பு போக்கு",Evolution de l'épidémie,,,
